Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,stop irritation,Be aware of drug allergies,stop taking drug,Be aware of drug allergies
Malaria,Use coils and vaporizers,avoid oily food,avoid non veg food,keep mosquitos out
Allergy,reduce physical contact,avoid non veg food,avoid oily food,keep away from dirty surroundings
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,manage stress through exercise,salt baths
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,cold baths,anti itch medicine,Avoiding liver toxins,eat healthy
hepatitis A,Get vaccinated,wash hands through,avoid fatty spicy food,medication
Osteoarthristis,acetaminophen,Maintain a healthy weight,Visit your doctor regularly,salt baths
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,Communicate with your doctor
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Diabetes ,Eat healthy fats,exercise,Monitor your blood sugar,Lose extra weight
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,Do not share personal items
Hypertension ,meditation,salt baths,reduce stress,get proper sleep
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,Get enough rest
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
AIDS,avoid open cuts,wear ppe if possible,Do not share personal items,Communicate with your doctor
Paralysis (brain hemorrhage),massage,eat healthy,exercise,Manage your blood pressure
Typhoid,eat high calorie vegitables,antiboitic therapy,Washing hands,medication
Hepatitis B,Meditation,vaccination,eat healthy,Talk to your healthcare provider
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Hepatitis C,Avoid sharing personal items,vaccination,eat healthy,medication
Migraine,meditation,reduce stress,use poloroid glasses in sun,Eat and sleep regularly 
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Alcoholic hepatitis,stop alcohol consumption,Maintain a healthy weight,medication,Get vaccinated
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Hepatitis E,stop alcohol consumption,Take rest and sleep,Keep Hygiene always,medication
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Hepatitis D,Avoid sharing personal items,medication,eat healthy,follow up
Heart attack,Call ambulance immediately,chew or swallow asprin,keep calm,Give first aid
Pneumonia,Keep hygiene always,medication,Take rest and sleep,Communicate with your doctor
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Tuberculosis,Wear a mask,Take rest and sleep,medication,Communicate with your doctor
